episode,training_return,evaluation_return,epsilon,last_td_loss,replay_size,device,hidden,depth,batch_size
0,-47.849021446260956,-76.6084257650759,0.9511696280815958,nan,24,cpu,64,2,32
6,-41.38404282509004,-55.22580062644591,0.6961679287837177,0.0025352519005537033,168,cpu,64,2,32
12,-31.72886343854818,-27.31998296730207,0.5109986903864087,0.0010420538019388914,312,cpu,64,2,32
18,-31.940580428212087,-21.984997741591734,0.37653822622853395,0.0011131350183859468,456,cpu,64,2,32
24,-21.359283392709532,-21.881332953472395,0.2788998896558117,0.003557917894795537,600,cpu,64,2,32
30,-24.38028134635138,-20.23710751429045,0.20799990557205245,0.0002774904132820666,744,cpu,64,2,32
36,-25.174882286313483,-20.86005197859242,0.15651595040109073,0.0009640022180974483,888,cpu,64,2,32
42,-22.76252566922437,-20.731010566061855,0.11913092592895178,0.0005628791404888034,1032,cpu,64,2,32
48,-22.441265742859517,-20.99895909605072,0.09198382640753172,0.0024175175931304693,1176,cpu,64,2,32
54,-20.1729803421347,-19.858952617184972,0.07227098623070889,0.0005550472997128963,1320,cpu,64,2,32
60,-20.796347796445463,-20.518768067497525,0.057956526318321405,0.001323115429840982,1464,cpu,64,2,32
66,-20.298394599153283,-21.545370839095522,0.0475620950367113,0.0006666784756816924,1608,cpu,64,2,32
72,-21.000380863074767,-20.98862841182946,0.04001418877064147,0.00039951360668055713,1752,cpu,64,2,32
78,-22.461671887978188,-20.63124205049201,0.03453328390361238,0.00026818655896931887,1896,cpu,64,2,32
84,-24.682607598795787,-20.001998747403352,0.030553330112126697,0.002281514462083578,2040,cpu,64,2,32
90,-19.9782537100382,-20.82766830240063,0.027663290498841593,0.0007257339893840253,2184,cpu,64,2,32
96,-21.62301142448373,-20.99355020747678,0.025564691016549783,0.0009021388832479715,2328,cpu,64,2,32
102,-22.33939458225998,-20.735347202730537,0.024040795023280243,0.0012197233736515045,2472,cpu,64,2,32
108,-20.212143273407598,-20.052577193987617,0.022934219415167115,0.0002140380092896521,2616,cpu,64,2,32
114,-20.474615425228404,-20.16392171834534,0.02213068060288653,0.00011604619066929445,2760,cpu,64,2,32
120,-20.785367108987717,-20.45584679283852,0.021547191668097643,0.0002309569827048108,2904,cpu,64,2,32
126,-24.722842533559135,-20.19702431395466,0.02112349173995754,0.00012552957923617214,3048,cpu,64,2,32
132,-20.215114000701384,-20.277137959797727,0.020815822445130413,0.00027986778877675533,3192,cpu,64,2,32
138,-20.968140561436762,-21.079798977027764,0.020592408682954554,0.000526414776686579,3336,cpu,64,2,32
144,-21.087645345835572,-19.471471672433943,0.020430176994681543,0.001546884304843843,3480,cpu,64,2,32
150,-20.283940911725534,-20.484826821309863,0.020312372610459258,0.00014148757327347994,3624,cpu,64,2,32
156,-20.16128817654686,-20.64627716745538,0.020226829070293186,0.0003682734677568078,3768,cpu,64,2,32
162,-20.93403595571242,-21.04795594682959,0.020164711710973716,0.0028345936443656683,3912,cpu,64,2,32
168,-20.452745531084837,-20.308594082076453,0.020119605250318324,0.00030726019758731127,4056,cpu,64,2,32
174,-20.014952576464367,-20.670388777316255,0.02008685123734761,0.0005070063634775579,4200,cpu,64,2,32
