policy,decision_dt,decision_epochs,rk4_substeps,total_defender_reward,total_defender_cost,total_attacker_reward,cumulative_compromised,peak_compromised,final_compromised,final_protected,mean_deception,impulse_events,total_impulse_removed,action_switches,defender_policy,attacker_policy
No defense,1.0,40,10,-181.06013933248582,181.06013933248582,142.81302385955757,17.858937900451167,0.7490970795506348,0.2534044005591857,0.7209680442823255,0.0,0,0.0,0,No defense,Scripted scan -> exploit -> lateral attacker
No defense,1.0,40,10,-183.7839910972691,183.7839910972691,141.23524777048766,18.194394535337544,0.7978967387548347,0.24462627722001293,0.7284853093885134,0.0,0,1.3877787807814457e-16,0,No defense,Fixed exploit attacker
No defense,1.0,40,10,-184.8627892112939,184.8627892112939,137.83666449218168,18.324076160867175,0.8181332635840454,0.24376833578766588,0.7319082550833573,0.0,0,0.0,0,No defense,Fixed lateral attacker
No defense,1.0,40,10,-181.46902743069978,181.46902743069978,137.94296080774484,17.916257837804558,0.765604485307263,0.24711078299447828,0.7211215863753683,0.0,0,8.326672684688674e-17,0,No defense,Fixed stealth attacker
Fixed high patch,1.0,40,10,-68.82904673090634,68.82904673090634,50.35533998941286,6.474562789366651,0.24067397137462224,0.09688888465609516,0.8776526839047957,0.0,0,0.0,0,Fixed high patch,Scripted scan -> exploit -> lateral attacker
Fixed high patch,1.0,40,10,-90.30698932839019,90.30698932839019,64.17392116047759,8.652671458025232,0.34193538728198514,0.12012449338847714,0.8567494677096181,0.0,0,0.0,0,Fixed high patch,Fixed exploit attacker
Fixed high patch,1.0,40,10,-99.43077724157612,99.43077724157612,67.31595091246041,9.578133630890989,0.38734436881982925,0.13200812006481155,0.8468506926080339,0.0,0,0.0,0,Fixed high patch,Fixed lateral attacker
Fixed high patch,1.0,40,10,-73.98460330003552,73.98460330003552,49.399498542656616,6.996809004784534,0.2667458019053981,0.09769201949423677,0.8755314228824808,0.0,0,0.0,0,Fixed high patch,Fixed stealth attacker
Fixed high clean,1.0,40,10,-47.96453172640571,47.96453172640571,38.439573223763205,4.107457519087351,0.3024081422698231,0.010297783685653856,0.7737863749586534,0.0,0,5.551115123125783e-17,0,Fixed high clean,Scripted scan -> exploit -> lateral attacker
Fixed high clean,1.0,40,10,-47.74684841911778,47.74684841911778,33.64472534102908,4.220747624767208,0.4076307308849358,0.0049203003987934165,0.7762507585447777,0.0,0,2.7755575615628914e-17,0,Fixed high clean,Fixed exploit attacker
Fixed high clean,1.0,40,10,-47.86358253929766,47.86358253929766,29.250144552660814,4.273085043827876,0.45133465442302073,0.005577946897897477,0.7817381345953751,0.0,0,0.0,0,Fixed high clean,Fixed lateral attacker
Fixed high clean,1.0,40,10,-77.6110417454542,77.6110417454542,54.99016176196239,7.2526601440788365,0.5032245586255237,0.02843089226304706,0.8301516851896815,0.0,0,0.0,0,Fixed high clean,Fixed stealth attacker
Rule threshold isolate/deceive/patch,1.0,40,10,-77.3568659809893,77.3568659809893,24.297546099356502,6.752389997329808,0.2540175888616506,0.12747600222477545,0.8458825768226256,0.43350104602693457,7,0.4980523743612946,13,Rule threshold isolate/deceive/patch,Scripted scan -> exploit -> lateral attacker
Rule threshold isolate/deceive/patch,1.0,40,10,-76.13134383013971,76.13134383013971,8.884924713584569,6.72666034132968,0.3099479252616705,0.1167361101078354,0.8546892418969348,0.5555198643944419,7,0.5550108599627193,7,Rule threshold isolate/deceive/patch,Fixed exploit attacker
Rule threshold isolate/deceive/patch,1.0,40,10,-72.39868891618919,72.39868891618919,3.4334125863635463,6.383144325489759,0.28307375566992615,0.107663620536618,0.8638103882668424,0.5254717048633389,8,0.6230045976134493,7,Rule threshold isolate/deceive/patch,Fixed lateral attacker
Rule threshold isolate/deceive/patch,1.0,40,10,-71.85113963606928,71.85113963606928,23.54112877030742,6.208031605169825,0.24499074962538234,0.11020865607581738,0.8609621980117856,0.3215495226185715,8,0.5509558729137052,11,Rule threshold isolate/deceive/patch,Fixed stealth attacker
DDQN learned defender (greedy),1.0,40,10,-19.359106586964092,19.359106586964092,9.95773939853196,1.2345966875023668,0.15090335401556618,0.015337825470012474,0.9357619482989706,0.0,6,0.18930257721175048,26,DDQN learned defender (greedy),Scripted scan -> exploit -> lateral attacker
DDQN learned defender (greedy),1.0,40,10,-21.895545056092942,21.895545056092942,8.372698019155326,1.41498965383925,0.1818583043115297,0.01564032796251568,0.9417551371708399,0.0,8,0.3006941533418103,26,DDQN learned defender (greedy),Fixed exploit attacker
DDQN learned defender (greedy),1.0,40,10,-22.527277355558933,22.527277355558933,4.644914844215258,1.413179987986261,0.19292600480106556,0.014910878684258715,0.9300317157642854,0.0,10,0.37116783645029944,27,DDQN learned defender (greedy),Fixed lateral attacker
DDQN learned defender (greedy),1.0,40,10,-20.406197193440704,20.406197193440704,5.694273388112631,1.341761725236851,0.16674715216124364,0.015091369592768912,0.9303017786931981,0.0,6,0.2105097579512572,25,DDQN learned defender (greedy),Fixed stealth attacker
