policy,seed,nodes,horizon,beta_assumed_by_fbsm,beta_true_base,burst_multiplier,cumulative_compromised,peak_compromised,final_compromised,total_defender_cost,state_dimension,node_pmp_unknown_proxy
Node-level epidemic model: no defense,21,160,45,0.45,1.25,1.35,25.5375,0.89375,0.31875,0.0,480,44160
Node-level epidemic model: nominal-beta FBSM open-loop patching,21,160,45,0.45,1.25,1.35,16.175,0.51875,0.225,0.25375,480,44160
Node-level epidemic model: DDQN aggregate feedback,21,160,45,0.45,1.25,1.35,1.55,0.15625,0.0,4.491874999999999,480,44160
Node-level epidemic model: no defense,22,160,45,0.45,1.25,1.35,22.2375,0.88125,0.2375,0.0,480,44160
Node-level epidemic model: nominal-beta FBSM open-loop patching,22,160,45,0.45,1.25,1.35,16.55,0.59375,0.19375,0.21,480,44160
Node-level epidemic model: DDQN aggregate feedback,22,160,45,0.45,1.25,1.35,1.5625,0.1625,0.0,4.779999999999999,480,44160
Node-level epidemic model: no defense,23,160,45,0.45,1.25,1.35,21.487500000000004,0.85,0.2625,0.0,480,44160
Node-level epidemic model: nominal-beta FBSM open-loop patching,23,160,45,0.45,1.25,1.35,15.306249999999999,0.50625,0.2,0.21874999999999997,480,44160
Node-level epidemic model: DDQN aggregate feedback,23,160,45,0.45,1.25,1.35,1.50625,0.26875,0.0,4.930000000000001,480,44160
Node-level epidemic model: no defense,24,160,45,0.45,1.25,1.35,22.93125,0.90625,0.25625,0.0,480,44160
Node-level epidemic model: nominal-beta FBSM open-loop patching,24,160,45,0.45,1.25,1.35,16.243750000000002,0.6125,0.175,0.19687499999999997,480,44160
Node-level epidemic model: DDQN aggregate feedback,24,160,45,0.45,1.25,1.35,1.6749999999999998,0.25625,0.0,4.7212499999999995,480,44160
Node-level epidemic model: no defense,25,160,45,0.45,1.25,1.35,23.85,0.8875,0.3125,0.0,480,44160
Node-level epidemic model: nominal-beta FBSM open-loop patching,25,160,45,0.45,1.25,1.35,19.2,0.68125,0.26875,0.14874999999999997,480,44160
Node-level epidemic model: DDQN aggregate feedback,25,160,45,0.45,1.25,1.35,1.55,0.29375,0.0,4.949375,480,44160
Node-level epidemic model: no defense,26,160,45,0.45,1.25,1.35,23.38125,0.8875,0.26875,0.0,480,44160
Node-level epidemic model: nominal-beta FBSM open-loop patching,26,160,45,0.45,1.25,1.35,15.88125,0.575,0.19375,0.223125,480,44160
Node-level epidemic model: DDQN aggregate feedback,26,160,45,0.45,1.25,1.35,1.1,0.16875,0.0,4.78875,480,44160
Node-level epidemic model: no defense,27,160,45,0.45,1.25,1.35,21.95,0.88125,0.24375,0.0,480,44160
Node-level epidemic model: nominal-beta FBSM open-loop patching,27,160,45,0.45,1.25,1.35,14.5125,0.5,0.2,0.23624999999999996,480,44160
Node-level epidemic model: DDQN aggregate feedback,27,160,45,0.45,1.25,1.35,1.25,0.15,0.0,4.503125000000001,480,44160
Node-level epidemic model: no defense,28,160,45,0.45,1.25,1.35,21.468750000000004,0.8625,0.21875,0.0,480,44160
Node-level epidemic model: nominal-beta FBSM open-loop patching,28,160,45,0.45,1.25,1.35,15.018749999999997,0.58125,0.15625,0.20999999999999996,480,44160
Node-level epidemic model: DDQN aggregate feedback,28,160,45,0.45,1.25,1.35,1.65625,0.25625,0.0,4.655,480,44160
